id,Name,Artifact Type,Jama ID,Jama URL,HSD ID,HSD URL,Affected Component
377221,ISET - Display Board ID,ND SW Requirement,"=""22016296394""",https://hsdes.intel.com/appstore/article/#/22016296394,"","",Unassigned
377220,ISET - Port-to-MAC Mapping,ND SW Requirement,"=""22016296393""",https://hsdes.intel.com/appstore/article/#/22016296393,"","",Unassigned
377219,Runtime discovery of PTYPEs,ND SW Requirement,"=""22016283641""",https://hsdes.intel.com/appstore/article/#/22016283641,"","",Unassigned
377218,Firmware Download Failure,ND SW Requirement,"=""22016106234""",https://hsdes.intel.com/appstore/article/#/22016106234,"","",Unassigned
377217,Report Firmware Version,ND SW Requirement,"=""22016106223""",https://hsdes.intel.com/appstore/article/#/22016106223,"","",Unassigned
377216,MDEV Support,ND SW Requirement,"=""22016105642""",https://hsdes.intel.com/appstore/article/#/22016105642,"","",Unassigned
377215,LCE Performance Expectations - with LAN traffic,ND SW Requirement,"=""22016079157""",https://hsdes.intel.com/appstore/article/#/22016079157,"","",Unassigned
377214,IPU Documentation - Compiled Binaries,ND SW Requirement,"=""22016079018""",https://hsdes.intel.com/appstore/article/#/22016079018,"","",Unassigned
377213,IPU Documentation - Tools,ND SW Requirement,"=""22016072530""",https://hsdes.intel.com/appstore/article/#/22016072530,"","",Unassigned
377212,IPU Documentation - IPU Feature Enablement,ND SW Requirement,"=""22016072529""",https://hsdes.intel.com/appstore/article/#/22016072529,"","",Unassigned
377211,IPU Documentation - Release Notes,ND SW Requirement,"=""22016072528""",https://hsdes.intel.com/appstore/article/#/22016072528,"","",Unassigned
377210,Init Package:  iSCSI Packet Detection,ND SW Requirement,"=""22016048696""",https://hsdes.intel.com/appstore/article/#/22016048696,"","",Unassigned
377209,ISET - Document Phase 2 Features and Limitations,ND SW Requirement,"=""22016038361""",https://hsdes.intel.com/appstore/article/#/22016038361,"","",Unassigned
377208,ISET - Ethernet RX Control and Status,ND SW Requirement,"=""22016031081""",https://hsdes.intel.com/appstore/article/#/22016031081,"","",Unassigned
377207,ISET - Link Control Technology Store Support,ND SW Requirement,"=""22016021716""",https://hsdes.intel.com/appstore/article/#/22016021716,"","",Unassigned
377206,Zeroization,ND SW Requirement,"=""22016015551""",https://hsdes.intel.com/appstore/article/#/22016015551,"","",Unassigned
377205,DPDK Crypto Dev Support,ND SW Requirement,"=""22015962485""",https://hsdes.intel.com/appstore/article/#/22015962485,"","",Unassigned
377204,ISET - IPU SDK Layout,ND SW Requirement,"=""22015962366""",https://hsdes.intel.com/appstore/article/#/22015962366,"","",Unassigned
377203,Error Reporting - Fatal Error Detection,ND SW Requirement,"=""22015957860""",https://hsdes.intel.com/appstore/article/#/22015957860,"","",Unassigned
377202,Init Package: Filename,ND SW Requirement,"=""22015919912""",https://hsdes.intel.com/appstore/article/#/22015919912,"","",Unassigned
377201,Init Package: FXP and CXP Metadata Configuration,ND SW Requirement,"=""22015919837""",https://hsdes.intel.com/appstore/article/#/22015919837,"","",Unassigned
377200,ISET - File Logging,ND SW Requirement,"=""22015885579""",https://hsdes.intel.com/appstore/article/#/22015885579,"","",Unassigned
377199,Init Package: Hash Configuration,ND SW Requirement,"=""22015858598""",https://hsdes.intel.com/appstore/article/#/22015858598,"","",Unassigned
377198,ISET - CLI Component Logging,ND SW Requirement,"=""22015832568""",https://hsdes.intel.com/appstore/article/#/22015832568,"","",Unassigned
377197,ISET - Version Information,ND SW Requirement,"=""22015832566""",https://hsdes.intel.com/appstore/article/#/22015832566,"","",Unassigned
377196,ISET - IMC Firmware Version Information,ND SW Requirement,"=""22015832565""",https://hsdes.intel.com/appstore/article/#/22015832565,"","",Unassigned
377195,Error Reporting - FIPS Self Test Failure,ND SW Requirement,"=""22015826007""",https://hsdes.intel.com/appstore/article/#/22015826007,"","",Unassigned
377194,ISET - Temperature Sensors,ND SW Requirement,"=""22015802398""",https://hsdes.intel.com/appstore/article/#/22015802398,"","",Unassigned
377193,ISET - Ethernet TX Control and Status,ND SW Requirement,"=""22015801271""",https://hsdes.intel.com/appstore/article/#/22015801271,"","",Unassigned
377192,ISET - Ethernet Link Status,ND SW Requirement,"=""22015801269""",https://hsdes.intel.com/appstore/article/#/22015801269,"","",Unassigned
377191,ISET - Ethernet Link Control,ND SW Requirement,"=""22015801268""",https://hsdes.intel.com/appstore/article/#/22015801268,"","",Unassigned
377190,IPU Fuse Configuration Utility - write ECM EFuse,ND SW Requirement,"=""22015704179""",https://hsdes.intel.com/appstore/article/#/22015704179,"","",Unassigned
377189,ISET - UART Support,ND SW Requirement,"=""22015639490""",https://hsdes.intel.com/appstore/article/#/22015639490,"","",Unassigned
377188,ISET - Documentation,ND SW Requirement,"=""22015639273""",https://hsdes.intel.com/appstore/article/#/22015639273,"","",Unassigned
377187,ISET - PHY Subsystem Flows,ND SW Requirement,"=""22015639272""",https://hsdes.intel.com/appstore/article/#/22015639272,"","",Unassigned
377186,ISET - Link Manager Flows,ND SW Requirement,"=""22015639042""",https://hsdes.intel.com/appstore/article/#/22015639042,"","",Unassigned
377185,ISET - Loopback Support,ND SW Requirement,"=""22015639022""",https://hsdes.intel.com/appstore/article/#/22015639022,"","",Unassigned
377184,ISET - Port Configuration,ND SW Requirement,"=""22015639006""",https://hsdes.intel.com/appstore/article/#/22015639006,"","",Unassigned
377183,Power State Coordination Interface (PSCI) functions - standard features,ND SW Requirement,"=""22015142240""",https://hsdes.intel.com/appstore/article/#/22015142240,"","",Unassigned
377182,Power State Coordination Interface (PSCI) functions - Resets,ND SW Requirement,"=""22015142192""",https://hsdes.intel.com/appstore/article/#/22015142192,"","",Unassigned
377181,ISET - Link Configuration,ND SW Requirement,"=""22015101461""",https://hsdes.intel.com/appstore/article/#/22015101461,"","",Unassigned
377180,Secure Partition Initialization,ND SW Requirement,"=""22014584204""",https://hsdes.intel.com/appstore/article/#/22014584204,"","",Unassigned
377179,Secure Monitor Call Calling Convention,ND SW Requirement,"=""22014531962""",https://hsdes.intel.com/appstore/article/#/22014531962,"","",Unassigned
377178,License File,ND SW Requirement,"=""22014369647""",https://hsdes.intel.com/appstore/article/#/22014369647,"","",Unassigned
377177,ISET - Command Line Interface,ND SW Requirement,"=""22013891210""",https://hsdes.intel.com/appstore/article/#/22013891210,"","",Unassigned
377176,ACC ATF Documentation,ND SW Requirement,"=""22013849948""",https://hsdes.intel.com/appstore/article/#/22013849948,"","",Unassigned
377175,Power State Coordination Interface (PSCI) functions - ACC CPU functions,ND SW Requirement,"=""22013849659""",https://hsdes.intel.com/appstore/article/#/22013849659,"","",Unassigned
377174,"Add ""Network Media Type"" to Adapter Information Protocol",ND SW Requirement,"=""22011673325""",https://hsdes.intel.com/appstore/article/#/22011673325,"","",Unassigned
377173,DMA operation compliance with UEFI specification,ND SW Requirement,"=""22011673321""",https://hsdes.intel.com/appstore/article/#/22011673321,"","",Unassigned
377172,UEFI spec 2.7 compliance - Driver Supported EFI Version Protocol,ND SW Requirement,"=""22011673320""",https://hsdes.intel.com/appstore/article/#/22011673320,"","",Unassigned
377171,Add UEFI UNDI IDPF driver to CD layout,ND SW Requirement,"=""22011673317""",https://hsdes.intel.com/appstore/article/#/22011673317,"","",Unassigned
377170,IDPF - Basic Adaptive Physical Functions UEFI Support,ND SW Requirement,"=""22011673312""",https://hsdes.intel.com/appstore/article/#/22011673312,"","",Unassigned
377169,IPU Fuse Configuration Utility - command line parameters,ND SW Requirement,"=""18026539560""",https://hsdes.intel.com/appstore/article/#/18026539560,"","",Unassigned
377168,IPU Update - report reset type,ND SW Requirement,"=""18026444356""",https://hsdes.intel.com/appstore/article/#/18026444356,"","",Unassigned
377167,IPU Update - run tool as root,ND SW Requirement,"=""18026423008""",https://hsdes.intel.com/appstore/article/#/18026423008,"","",Unassigned
377166,IPU Fuse Configuration Utility - run tool as root,ND SW Requirement,"=""18026068976""",https://hsdes.intel.com/appstore/article/#/18026068976,"","",Unassigned
377165,IPU Update - Print version,ND SW Requirement,"=""18026051912""",https://hsdes.intel.com/appstore/article/#/18026051912,"","",Unassigned
377164,IPU Update - Help mode,ND SW Requirement,"=""18026051887""",https://hsdes.intel.com/appstore/article/#/18026051887,"","",Unassigned
377163,IPU Update - IMC rootfs Layout,ND SW Requirement,"=""18025979870""",https://hsdes.intel.com/appstore/article/#/18025979870,"","",Unassigned
377162,IPU Update tool - tool description,ND SW Requirement,"=""18025976988""",https://hsdes.intel.com/appstore/article/#/18025976988,"","",Unassigned
377161,IPU Fuse Configuration Utility - exit codes and error handling,ND SW Requirement,"=""18025933964""",https://hsdes.intel.com/appstore/article/#/18025933964,"","",Unassigned
377160,IPU Fuse Configuration Utility - Logging information to syslog,ND SW Requirement,"=""18025933942""",https://hsdes.intel.com/appstore/article/#/18025933942,"","",Unassigned
377159,IPU Update - support for PLDM files,ND SW Requirement,"=""18025808530""",https://hsdes.intel.com/appstore/article/#/18025808530,"","",Unassigned
377158,Logging information to syslog,ND SW Requirement,"=""18025697724""",https://hsdes.intel.com/appstore/article/#/18025697724,"","",Unassigned
377157,IPU Fuse Configuration Utility - JSON user input,ND SW Requirement,"=""18025552858""",https://hsdes.intel.com/appstore/article/#/18025552858,"","",Unassigned
377156,IPU Update - exit codes and error handling,ND SW Requirement,"=""18025185453""",https://hsdes.intel.com/appstore/article/#/18025185453,"","",Unassigned
377155,IPU Fuse Configuration Utility - OEM unlock,ND SW Requirement,"=""18024177259""",https://hsdes.intel.com/appstore/article/#/18024177259,"","",Unassigned
377154,IPU Fuse Configuration Utility - validate EFuse,ND SW Requirement,"=""18024176953""",https://hsdes.intel.com/appstore/article/#/18024176953,"","",Unassigned
377153,IPU Fuse Configuration Utility - read ECM EFuse,ND SW Requirement,"=""18024176883""",https://hsdes.intel.com/appstore/article/#/18024176883,"","",Unassigned
377152,ACC UEFI FW - Power Button Support,ND SW Requirement,"=""18023969698""",https://hsdes.intel.com/appstore/article/#/18023969698,"","",Unassigned
377151,ACC UEFI FW - ACPI description for platform devices,ND SW Requirement,"=""18023969555""",https://hsdes.intel.com/appstore/article/#/18023969555,"","",Unassigned
377150,ACC UEFI FW - TLS ciphers support,ND SW Requirement,"=""18023969504""",https://hsdes.intel.com/appstore/article/#/18023969504,"","",Unassigned
377149,ACC UEFI FW - Boot Order,ND SW Requirement,"=""18023969466""",https://hsdes.intel.com/appstore/article/#/18023969466,"","",Unassigned
377148,ACC UEFI FW - Boot from RAM,ND SW Requirement,"=""18023969456""",https://hsdes.intel.com/appstore/article/#/18023969456,"","",Unassigned
377147,ACC UEFI FW - local SSD access through iSCSI,ND SW Requirement,"=""18023969452""",https://hsdes.intel.com/appstore/article/#/18023969452,"","",Unassigned
377146,ACC UEFI FW - UEFI Secure Boot default state,ND SW Requirement,"=""18023969370""",https://hsdes.intel.com/appstore/article/#/18023969370,"","",Unassigned
377145,ACC UEFI FW - Embedded Setup Utility,ND SW Requirement,"=""18023774170""",https://hsdes.intel.com/appstore/article/#/18023774170,"","",Unassigned
377144,IPU Update - support for command line parameters,ND SW Requirement,"=""18023168011""",https://hsdes.intel.com/appstore/article/#/18023168011,"","",Unassigned
377143,IPU Update - Update flow for MEV,ND SW Requirement,"=""18020138316""",https://hsdes.intel.com/appstore/article/#/18020138316,"","",Unassigned
377142,ACC UEFI FW - UEFI Secure Boot support,ND SW Requirement,"=""18018475465""",https://hsdes.intel.com/appstore/article/#/18018475465,"","",Unassigned
377141,ACC UEFI FW - Tianocore EDK2 based implementation,ND SW Requirement,"=""18017758807""",https://hsdes.intel.com/appstore/article/#/18017758807,"","",Unassigned
377140,ACC UEFI FW - UEFI runtime services - Reset System,ND SW Requirement,"=""18017313897""",https://hsdes.intel.com/appstore/article/#/18017313897,"","",Unassigned
377139,ACC UEFI FW - Local Storage support,ND SW Requirement,"=""18017091128""",https://hsdes.intel.com/appstore/article/#/18017091128,"","",Unassigned
377138,ACC UEFI FW - ACPI tables supported,ND SW Requirement,"=""18017089871""",https://hsdes.intel.com/appstore/article/#/18017089871,"","",Unassigned
377137,ACC UEFI FW - Interrupt Controller support,ND SW Requirement,"=""18017076287""",https://hsdes.intel.com/appstore/article/#/18017076287,"","",Unassigned
377136,ACC UEFI FW - Dynamic Memory Map,ND SW Requirement,"=""18017059683""",https://hsdes.intel.com/appstore/article/#/18017059683,"","",Unassigned
377135,ACC UEFI FW - System Timer support,ND SW Requirement,"=""18017059379""",https://hsdes.intel.com/appstore/article/#/18017059379,"","",Unassigned
377134,ACC UEFI FW - Network boot support,ND SW Requirement,"=""18017010404""",https://hsdes.intel.com/appstore/article/#/18017010404,"","",Unassigned
377133,ACC UEFI FW - SMBIOS tables,ND SW Requirement,"=""18017010379""",https://hsdes.intel.com/appstore/article/#/18017010379,"","",Unassigned
377132,ACC UEFI FW - Embedded EFI Shell,ND SW Requirement,"=""18017010344""",https://hsdes.intel.com/appstore/article/#/18017010344,"","",Unassigned
377131,ACC UEFI FW - ACC PCIe subsystem support,ND SW Requirement,"=""18017010252""",https://hsdes.intel.com/appstore/article/#/18017010252,"","",Unassigned
377130,ACC UEFI FW - Serial Console support,ND SW Requirement,"=""18017009567""",https://hsdes.intel.com/appstore/article/#/18017009567,"","",Unassigned
377129,ACC UEFI FW - UEFI runtime services - Variable,ND SW Requirement,"=""18016997231""",https://hsdes.intel.com/appstore/article/#/18016997231,"","",Unassigned
377128,ACC UEFI FW - UEFI runtime services - Time,ND SW Requirement,"=""18016997078""",https://hsdes.intel.com/appstore/article/#/18016997078,"","",Unassigned
377127,Management Mode Interface,ND SW Requirement,"=""14015471728""",https://hsdes.intel.com/appstore/article/#/14015471728,"","",Unassigned
377126,ARM System Ready Embedded Server (ES) version 1.1 Certification,ND SW Requirement,"=""14015439675""",https://hsdes.intel.com/appstore/article/#/14015439675,"","",Unassigned
377125,True Random Number Generator Interface,ND SW Requirement,"=""14015250948""",https://hsdes.intel.com/appstore/article/#/14015250948,"","",Unassigned
377124,IPU Fuse Configuration Utility - tool description,ND SW Requirement,"=""13010465679""",https://hsdes.intel.com/appstore/article/#/13010465679,"","",Unassigned
377123,IPU Fuse Configuration Utility - IMC rootfs Layout,ND SW Requirement,"=""13010465536""",https://hsdes.intel.com/appstore/article/#/13010465536,"","",Unassigned
370809,ESX Driver - VIRTCHNL timeout,ND SW Requirement,"=""22015064241""",https://hsdes.intel.com/resource/22015064241,"","",Unassigned
370808,ESX Driver - TCP Segmentation Offload,ND SW Requirement,"=""22015045718""",https://hsdes.intel.com/resource/22015045718,"","",Unassigned
370807,ESX Driver - Statistics update frequency,ND SW Requirement,"=""22015065753""",https://hsdes.intel.com/resource/22015065753,"","",Unassigned
370806,ESX Driver - Statistics and Counters,ND SW Requirement,"=""22015050030""",https://hsdes.intel.com/resource/22015050030,"","",Unassigned
370805,ESX Driver - RSS Input Sets,ND SW Requirement,"=""22015049108""",https://hsdes.intel.com/resource/22015049108,"","",Unassigned
370804,ESX Driver - Native Mode,ND SW Requirement,"=""22015045786""",https://hsdes.intel.com/resource/22015045786,"","",Unassigned
370803,ESX Driver - Link Speed,ND SW Requirement,"=""22015050046""",https://hsdes.intel.com/resource/22015050046,"","",Unassigned
370802,ESX Driver - Jumbo Frames,ND SW Requirement,"=""22015049112""",https://hsdes.intel.com/resource/22015049112,"","",Unassigned
370801,ESX Driver - ITR - Static Interrupt Throttling,ND SW Requirement,"=""22015045781""",https://hsdes.intel.com/resource/22015045781,"","",Unassigned
370800,ESX Driver - Device RSS module parameters,ND SW Requirement,"=""22016015236""",https://hsdes.intel.com/resource/22016015236,"","",Unassigned
370799,ESX Driver - Device RSS logging,ND SW Requirement,"=""22016015323""",https://hsdes.intel.com/resource/22016015323,"","",Unassigned
370798,ESX Driver - Device RSS,ND SW Requirement,"=""22015049516""",https://hsdes.intel.com/resource/22015049516,"","",Unassigned
370797,ESX Driver - Checksum Offload Support,ND SW Requirement,"=""22015020167""",https://hsdes.intel.com/resource/22015020167,"","",Unassigned
370796,Add Idpfn driver to CD layout,ND SW Requirement,"=""22013136030""",https://hsdes.intel.com/resource/22013136030,"","",Unassigned
364572,ethtool loopback command,ND SW Requirement,"=""22015976097""",https://hsdes.intel.com/resource/22015976097,"","",Unassigned
364571,Branding in Documentation for IPU LAN Device,ND SW Requirement,"=""22015645508""",https://hsdes.intel.com/resource/22015645508,"","",Unassigned
364570,Tx Dual completions,ND SW Requirement,"=""22015562498""",https://hsdes.intel.com/resource/22015562498,"","",Unassigned
364569,Emulated VFs with PASID isolation,ND SW Requirement,"=""22015560153""",https://hsdes.intel.com/resource/22015560153,"","",Unassigned
364568,Single Root-IOV (SR-IOV) based VMs,ND SW Requirement,"=""22015543337""",https://hsdes.intel.com/resource/22015543337,"","",Unassigned
364567,Documentation for idpf driver,ND SW Requirement,"=""22014013400""",https://hsdes.intel.com/resource/22014013400,"","",Unassigned
364566,Statistics update frequency,ND SW Requirement,"=""22013817884""",https://hsdes.intel.com/resource/22013817884,"","",Unassigned
350712,MEV SRS SPCP: Multiple vPorts per PF,ND SW Requirement,"=""22014826362""",https://hsdes.intel.com/resource/22014826362,"","",Unassigned
350711,MEV SRS:  Linux LAN PF multiple vPorts,ND SW Requirement,"=""22014800049""",https://hsdes.intel.com/resource/22014800049,"","",Unassigned
350710,AVF 2.0 XDP - AF_XDP with Zero Copy,ND SW Requirement,"=""22014796836""",https://hsdes.intel.com/resource/22014796836,"","",Unassigned
350709,AVF 2.0 XDP,ND SW Requirement,"=""22014796822""",https://hsdes.intel.com/resource/22014796822,"","",Unassigned
350708,AVF 2.0: Asymmetric Queue allocations,ND SW Requirement,"=""22014723791""",https://hsdes.intel.com/resource/22014723791,"","",Unassigned
350707,S-IOV for Linux ACC host driver,ND SW Requirement,"=""22014604651""",https://hsdes.intel.com/resource/22014604651,"","",Unassigned
350706,[S-IOV] Initial static configuration,ND SW Requirement,"=""22014604594""",https://hsdes.intel.com/resource/22014604594,"","",Unassigned
350705,AVF 2.0 - Scalable-IOV (S-IOV) base VMs,ND SW Requirement,"=""22014604448""","","","",Unassigned
350704,S-IOV for Linux Xeon host driver,ND SW Requirement,"=""22014598764""",https://hsdes.intel.com/resource/22014598764,"","",Unassigned
350703,Asymmetric Queue allocations,ND SW Requirement,"=""22014467763""",https://hsdes.intel.com/resource/22014467763,"","",Unassigned
350702,AVF 2.0 - Statistics update frequency,ND SW Requirement,"=""22013818196""",https://hsdes.intel.com/resource/22013818196,"","",Unassigned
343152,Storage,Collection,"","","","",""
339767,MEV-1 SPCP:  CLI support for configuration of UP to TC mappings,ND SW Requirement,"=""22011671615""",https://hsdes.intel.com/resource/22011671615,"","",Unassigned
339766,MEV SRS:  Stats per NIC in counter_tool,ND SW Requirement,"=""22011671040""",https://hsdes.intel.com/resource/22011671040,"","",Unassigned
336442,KPI:  LAN Minimum Achievable Latency,ND SW Requirement,"=""14014857605""",https://hsdes.intel.com/resource/14014857605,"","",Unassigned
334637,KPI: Customer Absolute Maximum Throughput Requirements for 200G without RSC,ND SW Requirement,"=""14014857582""",https://hsdes.intel.com/resource/14014857582,"","",Unassigned
334636,KPI: Customer Maximum Throughput Requirements for 200G with RSC,ND SW Requirement,"=""22013641664""",https://hsdes.intel.com/resource/22013641664,"","",Unassigned
334635,ICE KPI Control plane,ND SW Requirement,"=""22013627033""",https://hsdes.intel.com/resource/22013627033,"","",Unassigned
334634,ICE KPI Data plane,ND SW Requirement,"=""22013626960""",https://hsdes.intel.com/resource/22013626960,"","",Unassigned
334633,ATE KPI,ND SW Requirement,"=""22013467133""",https://hsdes.intel.com/resource/22013467133,"","",Unassigned
330713,Timing Wheel exclusivity,ND SW Requirement,"=""22013149736""",https://hsdes.intel.com/resource/22013149736,"","",Unassigned
330712,AVF 2.0 - Timing Wheel exclusivity,ND SW Requirement,"=""22013149721""",https://hsdes.intel.com/resource/22013149721,"","",Unassigned
330711,[NVME25] Initiator Errors,ND SW Requirement,"=""22013130658""",https://hsdes.intel.com/resource/22013130658,"","",Unassigned
330710,[NVME19] NPI state save/restore (SW only),ND SW Requirement,"=""22013130657""",https://hsdes.intel.com/resource/22013130657,"","",Unassigned
330709,[NVME21] MultiHome,ND SW Requirement,"=""22013130656""",https://hsdes.intel.com/resource/22013130656,"","",Unassigned
330708,[NVME23] NVMe PF on ACC,ND SW Requirement,"=""22013130655""",https://hsdes.intel.com/resource/22013130655,"","",Unassigned
330707,[NVME24] AER Commands,ND SW Requirement,"=""22013130654""",https://hsdes.intel.com/resource/22013130654,"","",Unassigned
330706,[NVME22] NVMe CPF on ACC,ND SW Requirement,"=""22013130653""",https://hsdes.intel.com/resource/22013130653,"","",Unassigned
330705,[NVME16.1] Initiator QoS: NVMe VMRL,ND SW Requirement,"=""22013130584""",https://hsdes.intel.com/resource/22013130584,"","",Unassigned
330704,[NVME16] Initiator QoS,ND SW Requirement,"=""22013130582""",https://hsdes.intel.com/resource/22013130582,"","",Unassigned
330703,[NVME12] Initiator SRIOV,ND SW Requirement,"=""22013130581""",https://hsdes.intel.com/resource/22013130581,"","",Unassigned
330702,[NVME14] Initiator Exceptions,ND SW Requirement,"=""22013130580""",https://hsdes.intel.com/resource/22013130580,"","",Unassigned
330701,[NVME13] Initiator encryption and protection,ND SW Requirement,"=""22013130579""",https://hsdes.intel.com/resource/22013130579,"","",Unassigned
330700,[NVME15] Initiator Performance,ND SW Requirement,"=""22013130578""",https://hsdes.intel.com/resource/22013130578,"","",Unassigned
330699,[NVME17] NVMe CPF on Xeon,ND SW Requirement,"=""22013130577""",https://hsdes.intel.com/resource/22013130577,"","",Unassigned
330698,[NVME07] Initiator SW IO flows,ND SW Requirement,"=""22013130373""",https://hsdes.intel.com/resource/22013130373,"","",Unassigned
330697,[NVME11.2] Initiator Resets: CORER,ND SW Requirement,"=""22013130372""",https://hsdes.intel.com/resource/22013130372,"","",Unassigned
330696,[NVME08] Initiator HW IO flow (with debug loopback),ND SW Requirement,"=""22013130371""",https://hsdes.intel.com/resource/22013130371,"","",Unassigned
330695,[NVME11.3] Initiator Resets: CPF FLR,ND SW Requirement,"=""22013130370""",https://hsdes.intel.com/resource/22013130370,"","",Unassigned
330694,[NVME11.1] Initiator Resets: PF/VF FLR,ND SW Requirement,"=""22013130369""",https://hsdes.intel.com/resource/22013130369,"","",Unassigned
330693,[NVME10] Initiator SQ drain,ND SW Requirement,"=""22013130368""",https://hsdes.intel.com/resource/22013130368,"","",Unassigned
330692,[NVME04] Target SQ&CQ draining,ND SW Requirement,"=""22013130195""",https://hsdes.intel.com/resource/22013130195,"","",Unassigned
330691,"[NVME03] Target Reset (CORER, CPF)",ND SW Requirement,"=""22013130194""",https://hsdes.intel.com/resource/22013130194,"","",Unassigned
330690,[NVME02] Target IO flows (with debug loopback),ND SW Requirement,"=""22013130165""",https://hsdes.intel.com/resource/22013130165,"","",Unassigned
330689,iDPF specific:  VLAN insertion (from AVF 1.1),ND SW Requirement,"=""22013121113""",https://hsdes.intel.com/resource/22013121113,"","",Unassigned
330688,iDPF specific:  VLAN stripping (from AVF 1.1),ND SW Requirement,"=""22013121105""",https://hsdes.intel.com/resource/22013121105,"","",Unassigned
330687,Auxiliary Bus  support for RDMA,ND SW Requirement,"=""22013115933""",https://hsdes.intel.com/resource/22013115933,"","",Unassigned
330686,RDMA user-mode library - Support RDMA on Mount Evans devices,ND SW Requirement,"=""22013115932""",https://hsdes.intel.com/resource/22013115932,"","",Unassigned
330685,RDMA Linux kernel driver - Support RDMA on Mount Evans devices,ND SW Requirement,"=""22013115931""",https://hsdes.intel.com/resource/22013115931,"","",Unassigned
330684,XDP - AF_XDP with Zero Copy,ND SW Requirement,"=""22013115930""",https://hsdes.intel.com/resource/22013115930,"","",Unassigned
330683,VIRTCHNL timeout,ND SW Requirement,"=""22013115929""",https://hsdes.intel.com/resource/22013115929,"","",Unassigned
330682,Stateless offloads: Protocol specific Tx checksum,ND SW Requirement,"=""22013115928""",https://hsdes.intel.com/resource/22013115928,"","",Unassigned
330681,Stateless offloads: Protocol specific Rx checksum,ND SW Requirement,"=""22013115927""",https://hsdes.intel.com/resource/22013115927,"","",Unassigned
330680,MTU,ND SW Requirement,"=""22013115926""",https://hsdes.intel.com/resource/22013115926,"","",Unassigned
